index,event_ts,event_id,info,event_tags,attrib_type,attrib_value,attrib_ts,attrib_tags
9,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,domain,shortliac.us,2021-04-01 09:16:17+00:00,TELUS_TI|Smishing|cloudmark_sms
10,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,url,http://shortliac.us/1nln.,2021-04-06 19:02:54+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
11,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,uri,/1nln.,2021-04-01 09:16:19+00:00,TELUS_TI|Smishing|cloudmark_sms
12,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,text,Trail Of Tears T-Shirt (Limited Edition). Shop Today: shortliac.us/1nln. Thank You Valued Customer! Opt out: text STOP FJvh,2021-04-01 09:16:19+00:00,TELUS_TI|Smishing|cloudmark_sms
13,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,text,Trail Of Tears T-Shirt (Limited Edition). Shop Today: shortliac.us/1nln. Thank You Valued Customer! Opt out: text STOP B9n1,2021-04-01 09:21:21+00:00,TELUS_TI|Smishing|cloudmark_sms
14,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,text,Trail Of Tears T-Shirt (Limited Edition). Shop Today: shortliac.us/1nln. Thank You Valued Customer! Opt out: text STOP 4Y27,2021-04-01 09:26:31+00:00,TELUS_TI|Smishing|cloudmark_sms
15,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,text,Trail Of Tears T-Shirt (Limited Edition). Shop Today: shortliac.us/1nln. Thank You Valued Customer! Opt out: text STOP 3a8V,2021-04-01 09:31:18+00:00,TELUS_TI|Smishing|cloudmark_sms
15,2021-04-06 20:00:28+00:00,270694,phishing domain - fb-post829.com,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: facebook|Validated Threat|tid: 943288,,,,
16,2021-04-06 20:00:28+00:00,270694,phishing domain - fb-post829.com,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: facebook|Validated Threat|tid: 943288,domain,fb-post829.com,2021-04-01 10:42:03+00:00,TELUS_TI|Smishing|cloudmark_sms
17,2021-04-06 20:00:28+00:00,270694,phishing domain - fb-post829.com,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: facebook|Validated Threat|tid: 943288,url,https://fb-post829.com/,2021-04-06 20:00:27+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
18,2021-04-06 20:00:28+00:00,270694,phishing domain - fb-post829.com,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: facebook|Validated Threat|tid: 943288,text,"Good morning, your facebook page ad: https://fb-post829.com/ is stil available? I am interested to see today if is possible, thank you! Lorrie",2021-04-01 10:42:04+00:00,TELUS_TI|Smishing|cloudmark_sms
19,2021-04-06 20:00:28+00:00,270694,phishing domain - fb-post829.com,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: facebook|Validated Threat|tid: 943288,url,https://bit.ly/3ugDbea,2021-04-06 20:00:28+00:00,TELUS_TI|Smishing|7726_sms|moose
20,2021-04-06 20:00:28+00:00,270694,phishing domain - fb-post829.com,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: facebook|Validated Threat|tid: 943288,uri,/3ugDbea,2021-04-01 11:12:20+00:00,TELUS_TI|Smishing|7726_sms
21,2021-04-06 20:00:28+00:00,270694,phishing domain - fb-post829.com,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: facebook|Validated Threat|tid: 943288,text,Your facebook Vikas Joshi has been suspended for 24hours please follow the instructions: https://bit.ly/3ugDbea,2021-04-01 11:12:21+00:00,TELUS_TI|Smishing|7726_sms
21,2021-04-05 14:56:24+00:00,270742,phishing domain - bitmonics.co,TELUS_TI|Smishing|cloudmark_sms|brand: td|sector: fi|Validated Threat|tid: 943288,,,,
22,2021-04-05 14:56:24+00:00,270742,phishing domain - bitmonics.co,TELUS_TI|Smishing|cloudmark_sms|brand: td|sector: fi|Validated Threat|tid: 943288,domain,bitmonics.co,2021-04-01 11:38:11+00:00,TELUS_TI|Smishing|cloudmark_sms
23,2021-04-05 14:56:24+00:00,270742,phishing domain - bitmonics.co,TELUS_TI|Smishing|cloudmark_sms|brand: td|sector: fi|Validated Threat|tid: 943288,url,http://bitmonics.co,2021-04-05 14:56:24+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
24,2021-04-05 14:56:24+00:00,270742,phishing domain - bitmonics.co,TELUS_TI|Smishing|cloudmark_sms|brand: td|sector: fi|Validated Threat|tid: 943288,text,"TD FRAUD ALERT Purchase of $320.00 @ bitmonics.co declined Access Card **7565 blocked Reply Y if this was you, N if not Msg rates may apply",2021-04-01 11:38:12+00:00,TELUS_TI|Smishing|cloudmark_sms
24,2021-04-06 19:54:25+00:00,270743,phishing domain - moneybutton.me,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,,,,
25,2021-04-06 19:54:25+00:00,270743,phishing domain - moneybutton.me,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,domain,moneybutton.me,2021-04-01 11:41:42+00:00,TELUS_TI|Smishing|cloudmark_sms
26,2021-04-06 19:54:25+00:00,270743,phishing domain - moneybutton.me,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,url,http://moneybutton.me,2021-04-01 11:41:42+00:00,TELUS_TI|Smishing|cloudmark_sms
27,2021-04-06 19:54:25+00:00,270743,phishing domain - moneybutton.me,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,text,Sould I reserve moneybutton.ca and moneybutton.me?,2021-04-01 11:41:43+00:00,TELUS_TI|Smishing|cloudmark_sms
27,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,,,,
28,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,domain,ebetud.me,2021-04-01 12:02:27+00:00,TELUS_TI|Smishing|7726_sms
29,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ebetud.me/pURsA6I,2021-04-05 13:59:53+00:00,TELUS_TI|Smishing|7726_sms|moose
30,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/pURsA6I,2021-04-01 12:02:28+00:00,TELUS_TI|Smishing|7726_sms
31,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hello Kaila. A product lPS_14038759194 is held in the duty department . Please visit the web to receieve your item: ebetud.me/pURsA6I,2021-04-01 12:02:28+00:00,TELUS_TI|Smishing|7726_sms
32,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ebetud.me/VgzCRVp,2021-04-05 13:59:53+00:00,TELUS_TI|Smishing|7726_sms|moose
33,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/VgzCRVp,2021-04-02 12:56:45+00:00,TELUS_TI|Smishing|7726_sms
34,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,"hi Richard, The item lPS_16478527320 is held in the shipping central . Visit the link to find your product: ebetud.me/VgzCRVp",2021-04-02 12:56:45+00:00,TELUS_TI|Smishing|7726_sms
35,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ebetud.me/TDCjFP0,2021-04-05 13:59:54+00:00,TELUS_TI|Smishing|7726_sms|moose
36,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/TDCjFP0,2021-04-03 20:11:17+00:00,TELUS_TI|Smishing|7726_sms
37,2021-04-05 13:59:54+00:00,270752,phishing domain - ebetud.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,"Dear James, The order lPS_17803059543 is withheld in the customs department . Please visit the website to receieve your item: ebetud.me/TDCjFP0",2021-04-03 20:11:17+00:00,TELUS_TI|Smishing|7726_sms
37,2021-04-06 20:55:47+00:00,270753,phishing domain - spotifypayment-cad.gq,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: spotify|sector: entertainment|Validated Threat|tid: 943288,,,,
38,2021-04-06 20:55:47+00:00,270753,phishing domain - spotifypayment-cad.gq,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: spotify|sector: entertainment|Validated Threat|tid: 943288,domain,spotifypayment-cad.gq,2021-04-01 12:06:53+00:00,TELUS_TI|Smishing|cloudmark_sms
39,2021-04-06 20:55:47+00:00,270753,phishing domain - spotifypayment-cad.gq,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: spotify|sector: entertainment|Validated Threat|tid: 943288,domain,www.spotifypayment-cad.gq,2021-04-01 12:06:54+00:00,TELUS_TI|Smishing|cloudmark_sms
40,2021-04-06 20:55:47+00:00,270753,phishing domain - spotifypayment-cad.gq,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: spotify|sector: entertainment|Validated Threat|tid: 943288,url,http://www.spotifypayment-cad.gq,2021-04-06 20:55:47+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
41,2021-04-06 20:55:47+00:00,270753,phishing domain - spotifypayment-cad.gq,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: spotify|sector: entertainment|Validated Threat|tid: 943288,text,Your monthly Payment has been declined. Verify here www.spotifypayment-cad.gq,2021-04-01 12:06:55+00:00,TELUS_TI|Smishing|cloudmark_sms
42,2021-04-06 20:55:47+00:00,270753,phishing domain - spotifypayment-cad.gq,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: spotify|sector: entertainment|Validated Threat|tid: 943288,text,Spotify ! Your last monthly payment has been declined. Please validate your payment information. www.spotifypayment-cad.gq,2021-04-01 12:11:37+00:00,TELUS_TI|Smishing|cloudmark_sms
42,2021-04-05 13:59:54+00:00,270769,phishing domain - enigek.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,,,,
43,2021-04-05 13:59:54+00:00,270769,phishing domain - enigek.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,domain,enigek.me,2021-04-01 12:37:41+00:00,TELUS_TI|Smishing|7726_sms
44,2021-04-05 13:59:54+00:00,270769,phishing domain - enigek.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://enigek.me/nv2p_87,2021-04-05 13:59:54+00:00,TELUS_TI|Smishing|7726_sms|moose
45,2021-04-05 13:59:54+00:00,270769,phishing domain - enigek.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/nv2p_87,2021-04-01 12:37:42+00:00,TELUS_TI|Smishing|7726_sms
46,2021-04-05 13:59:54+00:00,270769,phishing domain - enigek.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hello Maria  A item lPS_14168739307 is held in the duty central . Visit the link to receieve your item: enigek.me/nv2p_87,2021-04-01 12:37:43+00:00,TELUS_TI|Smishing|7726_sms
46,2021-04-06 19:51:30+00:00,270779,phishing domain - Budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,,,,
47,2021-04-06 19:51:30+00:00,270779,phishing domain - Budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,domain,budget-cleaning.com,2021-04-01 12:47:00+00:00,TELUS_TI|Smishing|cloudmark_sms
48,2021-04-06 19:51:30+00:00,270779,phishing domain - Budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,url,http://Budget-cleaning.com,2021-04-01 12:47:01+00:00,TELUS_TI|Smishing|cloudmark_sms
48,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,,,,
49,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,domain,ofojih.me,2021-04-01 13:06:44+00:00,TELUS_TI|Smishing|cloudmark_sms
50,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/VJ6WzR0,2021-04-05 13:59:54+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
51,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/VJ6WzR0,2021-04-01 13:06:46+00:00,TELUS_TI|Smishing|cloudmark_sms
52,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,Hello Edie  A product lPS_12503096679 is held in the duty department . Please visit our system to get your item: ofojih.me/VJ6WzR0,2021-04-01 13:06:46+00:00,TELUS_TI|Smishing|cloudmark_sms
53,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/MnBcMFT,2021-04-05 13:59:55+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
54,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/MnBcMFT,2021-04-01 13:06:48+00:00,TELUS_TI|Smishing|cloudmark_sms
55,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hi Andrew: Your order lPS_16135524621 is withheld in the shipping warehouse . Go to our website to receieve your order: ofojih.me/MnBcMFT,2021-04-01 13:06:48+00:00,TELUS_TI|Smishing|cloudmark_sms
56,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/-VT_TIf,2021-04-05 13:59:55+00:00,TELUS_TI|Smishing|7726_sms|moose
57,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/-VT_TIf,2021-04-01 13:07:07+00:00,TELUS_TI|Smishing|7726_sms
58,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,Hey David: The product lPS_16043780288 is held in the distribution warehouse . Visit our website to find your order: ofojih.me/-VT_TIf,2021-04-01 13:07:07+00:00,TELUS_TI|Smishing|7726_sms
59,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/Md_X0o7,2021-04-05 13:59:55+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
60,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/Md_X0o7,2021-04-01 13:12:00+00:00,TELUS_TI|Smishing|cloudmark_sms
61,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,Hello Gavin. A order lPS_19053960015 is withheld in the distribution central . Visit our site to find your order: ofojih.me/Md_X0o7,2021-04-01 13:12:01+00:00,TELUS_TI|Smishing|cloudmark_sms
62,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/SV2tac9,2021-04-05 13:59:56+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
63,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/SV2tac9,2021-04-01 13:12:02+00:00,TELUS_TI|Smishing|cloudmark_sms
64,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,"Hey Jesse, Your item lPS_17785381252 is detained in the imports warehouse . Please visit our site to get your item: ofojih.me/SV2tac9",2021-04-01 13:12:03+00:00,TELUS_TI|Smishing|cloudmark_sms
65,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/MGK7_Yq,2021-04-05 13:59:56+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
66,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/MGK7_Yq,2021-04-01 13:12:04+00:00,TELUS_TI|Smishing|cloudmark_sms
67,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hello Jarid: A item lPS_17808868652 is withheld in the shipping department . Go to our system to get your item: ofojih.me/MGK7_Yq,2021-04-01 13:12:05+00:00,TELUS_TI|Smishing|cloudmark_sms
68,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/FjhI8lJ,2021-04-05 13:59:56+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
69,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/FjhI8lJ,2021-04-01 13:12:06+00:00,TELUS_TI|Smishing|cloudmark_sms
70,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hello Todd. A item lPS_14039231402 is held in the duty department . Please visit our site to get your item: ofojih.me/FjhI8lJ,2021-04-01 13:12:07+00:00,TELUS_TI|Smishing|cloudmark_sms
71,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/1jUibZd,2021-04-05 13:59:57+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
72,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/1jUibZd,2021-04-01 13:12:08+00:00,TELUS_TI|Smishing|cloudmark_sms
73,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hey ButterJack: Your order lPS_19028303610 is withheld in the customs center . Please visit the site to find your item: ofojih.me/1jUibZd,2021-04-01 13:12:08+00:00,TELUS_TI|Smishing|cloudmark_sms
74,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/IFoOHmW,2021-04-05 13:59:57+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
75,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/IFoOHmW,2021-04-01 13:18:06+00:00,TELUS_TI|Smishing|cloudmark_sms
76,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,"Hello Melody, Your product lPS_15142627161 is detained in the imports central . Visit our system to find your product: ofojih.me/IFoOHmW",2021-04-01 13:18:07+00:00,TELUS_TI|Smishing|cloudmark_sms
77,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/tcU31Ub,2021-04-05 13:59:57+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
78,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/tcU31Ub,2021-04-01 13:18:08+00:00,TELUS_TI|Smishing|cloudmark_sms
79,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hello Curtis. The product lPS_14035129624 is detained in the shipping center . Visit our link to find your product: ofojih.me/tcU31Ub,2021-04-01 13:18:09+00:00,TELUS_TI|Smishing|cloudmark_sms
80,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/jNb7JzI,2021-04-05 13:59:58+00:00,TELUS_TI|Smishing|7726_sms|moose
81,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/jNb7JzI,2021-04-01 13:18:32+00:00,TELUS_TI|Smishing|7726_sms
82,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,Dear Rebekah  Your item lPS_17809824085 is detained in the imports center . Go to the link to find your product: ofojih.me/jNb7JzI,2021-04-01 13:18:33+00:00,TELUS_TI|Smishing|7726_sms
83,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/aA9lBhq,2021-04-05 13:59:58+00:00,TELUS_TI|Smishing|7726_sms|moose
84,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/aA9lBhq,2021-04-01 13:18:34+00:00,TELUS_TI|Smishing|7726_sms
85,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hello Gloria  Your order lPS_16477827939 is held in the duty center . Please visit the site to find your item: ofojih.me/aA9lBhq,2021-04-01 13:18:35+00:00,TELUS_TI|Smishing|7726_sms
86,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/ds99y7h,2021-04-05 13:59:58+00:00,TELUS_TI|Smishing|7726_sms|moose
87,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/ds99y7h,2021-04-01 13:18:36+00:00,TELUS_TI|Smishing|7726_sms
88,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,hello Jeremy. Your order lPS_16138942347 is held in the duty warehouse . Please visit our link to get your item: ofojih.me/ds99y7h,2021-04-01 13:18:36+00:00,TELUS_TI|Smishing|7726_sms
89,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/vQdtCow,2021-04-05 13:59:59+00:00,TELUS_TI|Smishing|7726_sms|moose
